,Target Addr,City,CC,Country,Probe Longitude,Probe Latitude,Probe ID
62,45.22.90.209,NAN,NAN,NAN,NAN,NAN,NAN
63,99.39.65.243,NAN,NAN,NAN,NAN,NAN,NAN
64,99.99.55.12,NAN,NAN,NAN,NAN,NAN,NAN
65,104.57.71.95,NAN,NAN,NAN,NAN,NAN,NAN
66,108.232.113.225,NAN,NAN,NAN,NAN,NAN,NAN
67,99.119.144.238,Chicago Loop,US,United States,-87.6295,41.8805,52867
68,99.188.47.75,NAN,NAN,NAN,NAN,NAN,NAN
69,99.0.85.192,NAN,NAN,NAN,NAN,NAN,NAN
70,162.239.36.247,NAN,NAN,NAN,NAN,NAN,NAN
71,76.218.90.131,NAN,NAN,NAN,NAN,NAN,NAN
72,99.105.39.48,NAN,NAN,NAN,NAN,NAN,NAN
73,23.117.25.15,NAN,NAN,NAN,NAN,NAN,NAN
74,107.216.64.28,NAN,NAN,NAN,NAN,NAN,NAN
75,107.213.23.51,NAN,NAN,NAN,NAN,NAN,NAN
76,108.208.92.246,NAN,NAN,NAN,NAN,NAN,NAN
77,45.22.91.14,NAN,NAN,NAN,NAN,NAN,NAN
78,76.231.193.244,NAN,NAN,NAN,NAN,NAN,NAN
79,23.119.211.7,NAN,NAN,NAN,NAN,NAN,NAN
80,76.217.174.124,NAN,NAN,NAN,NAN,NAN,NAN
81,104.191.76.171,NAN,NAN,NAN,NAN,NAN,NAN
82,23.125.93.9,NAN,NAN,NAN,NAN,NAN,NAN
83,99.121.228.54,NAN,NAN,NAN,NAN,NAN,NAN
84,108.234.152.169,NAN,NAN,NAN,NAN,NAN,NAN
85,75.18.111.244,NAN,NAN,NAN,NAN,NAN,NAN
86,45.16.69.169,NAN,NAN,NAN,NAN,NAN,NAN
87,99.169.56.171,NAN,NAN,NAN,NAN,NAN,NAN
88,99.53.67.227,NAN,NAN,NAN,NAN,NAN,NAN
89,45.16.81.165,NAN,NAN,NAN,NAN,NAN,NAN
90,104.6.36.53,NAN,NAN,NAN,NAN,NAN,NAN
91,162.206.62.225,NAN,NAN,NAN,NAN,NAN,NAN
92,151.164.240.138,NAN,NAN,NAN,NAN,NAN,NAN
93,67.121.135.2,NAN,NAN,NAN,NAN,NAN,NAN
94,104.8.6.61,NAN,NAN,NAN,NAN,NAN,NAN
95,99.45.32.205,NAN,NAN,NAN,NAN,NAN,NAN
96,108.204.17.21,NAN,NAN,NAN,NAN,NAN,NAN
97,104.61.52.188,NAN,NAN,NAN,NAN,NAN,NAN
98,108.246.4.120,NAN,NAN,NAN,NAN,NAN,NAN
99,23.127.13.221,NAN,NAN,NAN,NAN,NAN,NAN
