,Target Addr,City,CC,Country,Probe Longitude,Probe Latitude,Probe ID
0,104.62.24.125,NAN,NAN,NAN,NAN,NAN,NAN
1,99.184.48.72,NAN,NAN,NAN,NAN,NAN,NAN
2,108.197.237.22,NAN,NAN,NAN,NAN,NAN,NAN
3,23.112.21.119,NAN,NAN,NAN,NAN,NAN,NAN
4,70.224.69.241,NAN,NAN,NAN,NAN,NAN,NAN
5,69.221.127.231,NAN,NAN,NAN,NAN,NAN,NAN
6,99.8.185.88,NAN,NAN,NAN,NAN,NAN,NAN
7,108.235.115.84,NAN,NAN,NAN,NAN,NAN,NAN
8,23.124.45.212,NAN,NAN,NAN,NAN,NAN,NAN
9,107.143.24.42,NAN,NAN,NAN,NAN,NAN,NAN
10,45.18.239.183,NAN,NAN,NAN,NAN,NAN,NAN
11,99.24.175.204,NAN,NAN,NAN,NAN,NAN,NAN
12,162.198.32.124,NAN,NAN,NAN,NAN,NAN,NAN
13,99.2.21.99,NAN,NAN,NAN,NAN,NAN,NAN
14,75.53.74.83,NAN,NAN,NAN,NAN,NAN,NAN
15,65.4.197.206,NAN,NAN,NAN,NAN,NAN,NAN
16,104.53.66.111,NAN,NAN,NAN,NAN,NAN,NAN
17,172.4.84.243,Dallas,US,United States,-96.8215,32.7985,6822
18,99.157.100.203,NAN,NAN,NAN,NAN,NAN,NAN
19,71.140.151.32,Atlanta,US,United States,-84.3895,33.7485,6572
20,74.188.132.183,NAN,NAN,NAN,NAN,NAN,NAN
21,104.190.36.13,NAN,NAN,NAN,NAN,NAN,NAN
22,162.196.30.62,NAN,NAN,NAN,NAN,NAN,NAN
23,104.5.97.167,NAN,NAN,NAN,NAN,NAN,NAN
24,76.248.220.125,NAN,NAN,NAN,NAN,NAN,NAN
25,104.179.226.132,NAN,NAN,NAN,NAN,NAN,NAN
26,99.68.143.229,NAN,NAN,NAN,NAN,NAN,NAN
27,104.178.100.115,NAN,NAN,NAN,NAN,NAN,NAN
28,104.7.12.43,NAN,NAN,NAN,NAN,NAN,NAN
29,99.10.246.230,NAN,NAN,NAN,NAN,NAN,NAN
30,104.50.195.101,NAN,NAN,NAN,NAN,NAN,NAN
31,99.167.206.253,NAN,NAN,NAN,NAN,NAN,NAN
32,76.232.124.10,NAN,NAN,NAN,NAN,NAN,NAN
33,108.214.5.223,Ann Arbor,US,United States,-83.7295,42.2985,54562
34,107.209.199.150,NAN,NAN,NAN,NAN,NAN,NAN
35,108.196.167.67,NAN,NAN,NAN,NAN,NAN,NAN
36,68.74.156.75,NAN,NAN,NAN,NAN,NAN,NAN
37,99.58.170.183,NAN,NAN,NAN,NAN,NAN,NAN
38,162.198.202.9,NAN,NAN,NAN,NAN,NAN,NAN
39,70.143.97.116,NAN,NAN,NAN,NAN,NAN,NAN
40,107.141.133.206,NAN,NAN,NAN,NAN,NAN,NAN
41,104.4.167.88,NAN,NAN,NAN,NAN,NAN,NAN
42,99.106.14.134,NAN,NAN,NAN,NAN,NAN,NAN
43,108.250.108.51,NAN,NAN,NAN,NAN,NAN,NAN
44,104.48.117.73,NAN,NAN,NAN,NAN,NAN,NAN
45,104.53.20.86,NAN,NAN,NAN,NAN,NAN,NAN
46,104.10.12.10,Gainesville,US,United States,-82.3615,29.6775,12320
47,108.250.10.206,Alief,US,United States,-95.5285,29.7175,34691
48,23.124.107.216,NAN,NAN,NAN,NAN,NAN,NAN
49,12.94.199.74,Near South Side,US,United States,-87.6215,41.8515,6629
50,108.82.155.30,NAN,NAN,NAN,NAN,NAN,NAN
51,71.136.232.60,NAN,NAN,NAN,NAN,NAN,NAN
52,104.176.155.40,NAN,NAN,NAN,NAN,NAN,NAN
53,162.230.77.209,NAN,NAN,NAN,NAN,NAN,NAN
54,108.252.84.122,NAN,NAN,NAN,NAN,NAN,NAN
55,76.205.132.147,NAN,NAN,NAN,NAN,NAN,NAN
56,99.58.78.30,NAN,NAN,NAN,NAN,NAN,NAN
57,107.210.1.212,NAN,NAN,NAN,NAN,NAN,NAN
58,104.60.44.68,NAN,NAN,NAN,NAN,NAN,NAN
59,74.232.83.193,NAN,NAN,NAN,NAN,NAN,NAN
60,104.181.148.156,NAN,NAN,NAN,NAN,NAN,NAN
61,172.125.238.4,Dallas,US,United States,-96.8215,32.7985,6822
