,Target Addr,City,CC,Country,Probe Longitude,Probe Latitude,Probe ID
0,98.196.80.45,Carrollton,US,United States,-96.9315,32.9915,7038
1,76.112.80.111,NAN,NAN,NAN,NAN,NAN,NAN
2,107.4.158.211,NAN,NAN,NAN,NAN,NAN,NAN
3,98.233.254.210,Reston,US,United States,-77.3615,38.9515,6928
4,98.227.229.58,NAN,NAN,NAN,NAN,NAN,NAN
5,73.246.14.198,NAN,NAN,NAN,NAN,NAN,NAN
6,75.70.169.220,NAN,NAN,NAN,NAN,NAN,NAN
7,73.166.31.40,NAN,NAN,NAN,NAN,NAN,NAN
8,98.197.231.188,NAN,NAN,NAN,NAN,NAN,NAN
9,73.54.105.240,Miami,US,United States,-80.1895,25.7605,6266
10,67.173.74.49,Savoy,US,United States,-88.2595,39.9805,1001777
11,24.104.74.42,Middleton,US,United States,-89.5225,43.0705,53106
12,73.134.67.202,Reston,US,United States,-77.3615,38.9515,6928
13,71.238.231.144,NAN,NAN,NAN,NAN,NAN,NAN
14,73.255.150.161,Miami,US,United States,-80.1895,25.7605,6266
15,73.89.172.171,NAN,NAN,NAN,NAN,NAN,NAN
16,73.71.36.79,Fremont,US,United States,-121.9885,37.5515,1004699
17,24.98.42.201,Vinings,US,United States,-84.4705,33.8915,6859
18,69.139.92.249,Reston,US,United States,-77.3615,38.9515,6928
19,75.64.231.132,NAN,NAN,NAN,NAN,NAN,NAN
20,24.126.104.166,Broadlands,US,United States,-77.5425,39.0215,1004119
21,76.100.157.128,NAN,NAN,NAN,NAN,NAN,NAN
22,174.63.118.99,Longmont,US,United States,-105.1225,40.1395,18414
23,50.230.78.154,NAN,NAN,NAN,NAN,NAN,NAN
24,67.170.177.193,NAN,NAN,NAN,NAN,NAN,NAN
25,73.213.50.77,Pimmit Hills,US,United States,-77.2085,38.9215,6588
26,173.164.192.46,Fremont,US,United States,-121.9885,37.5515,1004698
27,50.200.30.158,Ashburn,US,United States,-77.4625,39.0205,6517
28,73.189.21.30,NAN,NAN,NAN,NAN,NAN,NAN
29,68.80.144.207,New York City,US,United States,-74.0085,40.7185,6783
30,73.70.40.222,Fremont,US,United States,-121.9885,37.5515,1004698
31,73.181.178.158,Seattle,US,United States,-122.3295,47.6095,6264
32,71.195.89.155,NAN,NAN,NAN,NAN,NAN,NAN
33,24.130.26.7,Fremont,US,United States,-121.9885,37.5515,1004698
34,68.43.18.252,NAN,NAN,NAN,NAN,NAN,NAN
35,73.128.187.217,Pimmit Hills,US,United States,-77.2085,38.9215,6588
36,76.26.77.45,NAN,NAN,NAN,NAN,NAN,NAN
37,76.23.223.174,NAN,NAN,NAN,NAN,NAN,NAN
38,68.52.119.152,NAN,NAN,NAN,NAN,NAN,NAN
39,98.243.67.119,NAN,NAN,NAN,NAN,NAN,NAN
40,71.200.77.112,NAN,NAN,NAN,NAN,NAN,NAN
41,73.222.139.132,Fremont,US,United States,-121.9885,37.5515,1004698
42,67.174.170.122,Miami,US,United States,-80.1895,25.7605,6266
43,73.145.64.6,NAN,NAN,NAN,NAN,NAN,NAN
44,68.38.171.81,NAN,NAN,NAN,NAN,NAN,NAN
45,73.109.0.98,Seattle,US,United States,-122.3425,47.6075,7011
46,67.188.202.130,NAN,NAN,NAN,NAN,NAN,NAN
47,75.74.122.189,Miami,US,United States,-80.1895,25.7605,6266
48,50.202.196.202,Miami,US,United States,-80.1885,25.7775,6590
49,73.214.181.56,NAN,NAN,NAN,NAN,NAN,NAN
50,73.51.82.109,Savoy,US,United States,-88.2595,39.9805,1001777
51,73.246.86.227,NAN,NAN,NAN,NAN,NAN,NAN
52,24.3.245.160,NAN,NAN,NAN,NAN,NAN,NAN
53,71.62.133.230,Ashburn,US,United States,-77.4915,39.0385,1002633
54,96.92.89.65,West Jordan,US,United States,-111.9205,40.6115,26758
55,73.163.164.109,NAN,NAN,NAN,NAN,NAN,NAN
56,73.4.14.52,Financial District,US,United States,-74.0125,40.7075,1000701
57,96.110.38.153,Ashburn,US,United States,-77.4915,39.0385,1002633
58,71.233.184.57,NAN,NAN,NAN,NAN,NAN,NAN
59,73.89.88.176,NAN,NAN,NAN,NAN,NAN,NAN
60,73.204.79.42,Miami,US,United States,-80.1895,25.7605,6266
61,73.12.178.149,Fremont,US,United States,-121.9885,37.5515,1004698
62,73.165.221.19,NAN,NAN,NAN,NAN,NAN,NAN
63,69.140.120.138,Ashburn,US,United States,-77.4625,39.0205,6517
64,98.222.40.186,Savoy,US,United States,-88.2595,39.9805,1001777
65,198.0.189.69,NAN,NAN,NAN,NAN,NAN,NAN
66,69.253.118.46,Ashburn,US,United States,-77.4915,39.0385,1002633
67,73.7.72.62,Atlanta,US,United States,-84.3895,33.7485,6572
68,98.33.201.169,NAN,NAN,NAN,NAN,NAN,NAN
69,107.1.155.70,NAN,NAN,NAN,NAN,NAN,NAN
70,73.137.13.244,Atlanta,US,United States,-84.3895,33.7485,6572
71,73.217.200.141,NAN,NAN,NAN,NAN,NAN,NAN
72,67.186.95.56,NAN,NAN,NAN,NAN,NAN,NAN
73,68.51.76.82,NAN,NAN,NAN,NAN,NAN,NAN
74,73.30.82.33,NAN,NAN,NAN,NAN,NAN,NAN
75,217.0.196.6,Borgfelde,DE,Germany,10.0395,53.5505,16156
76,217.0.203.57,Bad Vilbel,DE,Germany,8.7375,50.1375,6601
77,217.5.73.97,Kassel,DE,Germany,9.4905,51.2995,1001864
78,91.23.196.9,NAN,NAN,NAN,NAN,NAN,NAN
79,91.23.224.21,NAN,NAN,NAN,NAN,NAN,NAN
80,91.23.212.177,NAN,NAN,NAN,NAN,NAN,NAN
81,91.23.233.113,NAN,NAN,NAN,NAN,NAN,NAN
82,217.5.78.26,Coburg,DE,Germany,10.9605,50.2485,30673
83,194.25.122.86,NAN,NAN,NAN,NAN,NAN,NAN
84,91.23.230.201,NAN,NAN,NAN,NAN,NAN,NAN
85,217.5.84.197,NAN,NAN,NAN,NAN,NAN,NAN
86,91.23.209.81,NAN,NAN,NAN,NAN,NAN,NAN
87,80.146.151.185,NAN,NAN,NAN,NAN,NAN,NAN
88,91.23.215.209,NAN,NAN,NAN,NAN,NAN,NAN
89,91.6.53.4,NAN,NAN,NAN,NAN,NAN,NAN
90,93.227.53.176,NAN,NAN,NAN,NAN,NAN,NAN
91,87.163.250.191,Fulda,DE,Germany,9.6805,50.5615,6679
92,62.154.58.82,Frankfurt am Main,DE,Germany,8.6805,50.1075,1002660
93,91.23.246.157,NAN,NAN,NAN,NAN,NAN,NAN
94,62.154.90.168,NAN,NAN,NAN,NAN,NAN,NAN
95,87.140.32.204,Bad Vilbel,DE,Germany,8.7375,50.1385,1000612
96,91.23.248.73,NAN,NAN,NAN,NAN,NAN,NAN
97,62.153.46.51,NAN,NAN,NAN,NAN,NAN,NAN
98,91.23.252.97,NAN,NAN,NAN,NAN,NAN,NAN
99,93.214.191.87,NAN,NAN,NAN,NAN,NAN,NAN
