,Target Addr,City,CC,Country,Probe Longitude,Probe Latitude,Probe ID
0,98.196.80.45,Dallas,US,United States,-96.7985,32.7785,1003193
1,76.112.80.111,NAN,NAN,NAN,NAN,NAN,NAN
2,107.4.158.211,NAN,NAN,NAN,NAN,NAN,NAN
3,98.233.254.210,Ashburn,US,United States,-77.4885,39.0385,6092
4,98.227.229.58,NAN,NAN,NAN,NAN,NAN,NAN
5,73.246.14.198,NAN,NAN,NAN,NAN,NAN,NAN
6,75.70.169.220,NAN,NAN,NAN,NAN,NAN,NAN
7,73.166.31.40,NAN,NAN,NAN,NAN,NAN,NAN
8,98.197.231.188,NAN,NAN,NAN,NAN,NAN,NAN
9,73.54.105.240,NAN,NAN,NAN,NAN,NAN,NAN
10,67.173.74.49,NAN,NAN,NAN,NAN,NAN,NAN
11,24.104.74.42,Middleton,US,United States,-89.5225,43.0705,53106
12,73.134.67.202,Ashburn,US,United States,-77.4885,39.0385,6092
13,71.238.231.144,NAN,NAN,NAN,NAN,NAN,NAN
14,73.255.150.161,Miami,US,United States,-80.1905,25.7715,55759
15,73.89.172.171,NAN,NAN,NAN,NAN,NAN,NAN
16,73.71.36.79,Milpitas,US,United States,-121.9225,37.4715,6909
17,24.98.42.201,NAN,NAN,NAN,NAN,NAN,NAN
18,69.139.92.249,Pimmit Hills,US,United States,-77.2085,38.9215,6588
19,75.64.231.132,NAN,NAN,NAN,NAN,NAN,NAN
20,24.126.104.166,NAN,NAN,NAN,NAN,NAN,NAN
21,76.100.157.128,NAN,NAN,NAN,NAN,NAN,NAN
22,174.63.118.99,NAN,NAN,NAN,NAN,NAN,NAN
23,50.230.78.154,NAN,NAN,NAN,NAN,NAN,NAN
24,67.170.177.193,NAN,NAN,NAN,NAN,NAN,NAN
25,73.213.50.77,Pimmit Hills,US,United States,-77.2085,38.9215,6588
26,173.164.192.46,NAN,NAN,NAN,NAN,NAN,NAN
27,50.200.30.158,Ashburn,US,United States,-77.4885,39.0385,6092
28,73.189.21.30,NAN,NAN,NAN,NAN,NAN,NAN
29,68.80.144.207,NAN,NAN,NAN,NAN,NAN,NAN
30,73.70.40.222,Milpitas,US,United States,-121.9225,37.4715,6909
31,73.181.178.158,NAN,NAN,NAN,NAN,NAN,NAN
32,71.195.89.155,NAN,NAN,NAN,NAN,NAN,NAN
33,24.130.26.7,Milpitas,US,United States,-121.9225,37.4715,6909
34,68.43.18.252,NAN,NAN,NAN,NAN,NAN,NAN
35,73.128.187.217,Ashburn,US,United States,-77.4885,39.0385,6092
36,76.26.77.45,NAN,NAN,NAN,NAN,NAN,NAN
37,76.23.223.174,NAN,NAN,NAN,NAN,NAN,NAN
38,68.52.119.152,Druid Hills,US,United States,-84.3695,33.7995,35465
39,98.243.67.119,NAN,NAN,NAN,NAN,NAN,NAN
40,71.200.77.112,NAN,NAN,NAN,NAN,NAN,NAN
41,73.222.139.132,NAN,NAN,NAN,NAN,NAN,NAN
42,67.174.170.122,NAN,NAN,NAN,NAN,NAN,NAN
43,73.145.64.6,NAN,NAN,NAN,NAN,NAN,NAN
44,68.38.171.81,NAN,NAN,NAN,NAN,NAN,NAN
45,73.109.0.98,NAN,NAN,NAN,NAN,NAN,NAN
46,67.188.202.130,NAN,NAN,NAN,NAN,NAN,NAN
47,75.74.122.189,NAN,NAN,NAN,NAN,NAN,NAN
48,50.202.196.202,Miami,US,United States,-80.1905,25.7715,55759
49,73.214.181.56,NAN,NAN,NAN,NAN,NAN,NAN
50,73.51.82.109,NAN,NAN,NAN,NAN,NAN,NAN
51,73.246.86.227,NAN,NAN,NAN,NAN,NAN,NAN
52,24.3.245.160,NAN,NAN,NAN,NAN,NAN,NAN
53,71.62.133.230,Pimmit Hills,US,United States,-77.2085,38.9215,6588
54,96.92.89.65,NAN,NAN,NAN,NAN,NAN,NAN
55,73.163.164.109,NAN,NAN,NAN,NAN,NAN,NAN
56,73.4.14.52,NAN,NAN,NAN,NAN,NAN,NAN
57,96.110.38.153,Ashburn,US,United States,-77.4885,39.0385,6092
58,71.233.184.57,NAN,NAN,NAN,NAN,NAN,NAN
59,73.89.88.176,NAN,NAN,NAN,NAN,NAN,NAN
60,73.204.79.42,NAN,NAN,NAN,NAN,NAN,NAN
61,73.12.178.149,NAN,NAN,NAN,NAN,NAN,NAN
62,73.165.221.19,NAN,NAN,NAN,NAN,NAN,NAN
